😀	grinning	grinning	grinning grinning face smile happy
😃	smiley	smiley	smiley grinning face with big eyes happy joy haha
😄	smile	smile	smile grinning face with smiling eyes happy joy laugh pleased
😁	grin	grin	grin beaming face with smiling eyes
😆	laughing	laughing,satisfied	laughing satisfied grinning squinting face happy haha
😅	sweat_smile	sweat_smile	sweat_smile grinning face with sweat hot
🤣	rofl	rofl	rofl rolling on the floor laughing lol laughing
😂	joy	joy	joy face with tears of joy tears
🙂	slightly_smiling_face	slightly_smiling_face	slightly_smiling_face slightly smiling face
🙃	upside_down_face	upside_down_face	upside_down_face upside-down face
🫠	melting_face	melting_face	melting_face melting face sarcasm dread
😉	wink	wink	wink winking face flirt
😊	blush	blush	blush smiling face with smiling eyes proud
😇	innocent	innocent	innocent smiling face with halo angel
🥰	smiling_face_with_three_hearts	smiling_face_with_three_hearts	smiling_face_with_three_hearts smiling face with hearts love
😍	heart_eyes	heart_eyes	heart_eyes smiling face with heart-eyes love crush
🤩	star_struck	star_struck	star_struck star-struck eyes
😘	kissing_heart	kissing_heart	kissing_heart face blowing a kiss flirt
😗	kissing	kissing	kissing kissing face
☺️	relaxed	relaxed	relaxed smiling face blush pleased
😚	kissing_closed_eyes	kissing_closed_eyes	kissing_closed_eyes kissing face with closed eyes
😙	kissing_smiling_eyes	kissing_smiling_eyes	kissing_smiling_eyes kissing face with smiling eyes
🥲	smiling_face_with_tear	smiling_face_with_tear	smiling_face_with_tear smiling face with tear
😋	yum	yum	yum face savoring food tongue lick
😛	stuck_out_tongue	stuck_out_tongue	stuck_out_tongue face with tongue
😜	stuck_out_tongue_winking_eye	stuck_out_tongue_winking_eye	stuck_out_tongue_winking_eye winking face with tongue prank silly
🤪	zany_face	zany_face	zany_face zany face goofy wacky
😝	stuck_out_tongue_closed_eyes	stuck_out_tongue_closed_eyes	stuck_out_tongue_closed_eyes squinting face with tongue prank
🤑	money_mouth_face	money_mouth_face	money_mouth_face money-mouth face rich
🤗	hugs	hugs	hugs smiling face with open hands
🤭	hand_over_mouth	hand_over_mouth	hand_over_mouth face with hand over mouth quiet whoops
🫢	face_with_open_eyes_and_hand_over_mouth	face_with_open_eyes_and_hand_over_mouth	face_with_open_eyes_and_hand_over_mouth face with open eyes and hand over mouth gasp shock
🫣	face_with_peeking_eye	face_with_peeking_eye	face_with_peeking_eye face with peeking eye
🤫	shushing_face	shushing_face	shushing_face shushing face silence quiet
🤔	thinking	thinking	thinking thinking face
🫡	saluting_face	saluting_face	saluting_face saluting face respect
🤐	zipper_mouth_face	zipper_mouth_face	zipper_mouth_face zipper-mouth face silence hush
🤨	raised_eyebrow	raised_eyebrow	raised_eyebrow face with raised eyebrow suspicious
😐	neutral_face	neutral_face	neutral_face neutral face meh
😑	expressionless	expressionless	expressionless expressionless face
😶	no_mouth	no_mouth	no_mouth face without mouth mute silence
🫥	dotted_line_face	dotted_line_face	dotted_line_face dotted line face invisible
😶‍🌫️	face_in_clouds	face_in_clouds	face_in_clouds face in clouds
😏	smirk	smirk	smirk smirking face smug
😒	unamused	unamused	unamused unamused face meh
🙄	roll_eyes	roll_eyes	roll_eyes face with rolling eyes
😬	grimacing	grimacing	grimacing grimacing face
😮‍💨	face_exhaling	face_exhaling	face_exhaling face exhaling
🤥	lying_face	lying_face	lying_face lying face liar
🫨	shaking_face	shaking_face	shaking_face shaking face shock
😌	relieved	relieved	relieved relieved face whew
😔	pensive	pensive	pensive pensive face
😪	sleepy	sleepy	sleepy sleepy face tired
🤤	drooling_face	drooling_face	drooling_face drooling face
😴	sleeping	sleeping	sleeping sleeping face zzz
😷	mask	mask	mask face with medical mask sick ill
🤒	face_with_thermometer	face_with_thermometer	face_with_thermometer face with thermometer sick
🤕	face_with_head_bandage	face_with_head_bandage	face_with_head_bandage face with head-bandage hurt
🤢	nauseated_face	nauseated_face	nauseated_face nauseated face sick barf disgusted
🤮	vomiting_face	vomiting_face	vomiting_face face vomiting barf sick
🤧	sneezing_face	sneezing_face	sneezing_face sneezing face achoo sick
🥵	hot_face	hot_face	hot_face hot face heat sweating
🥶	cold_face	cold_face	cold_face cold face freezing ice
🥴	woozy_face	woozy_face	woozy_face woozy face groggy
😵	dizzy_face	dizzy_face	dizzy_face face with crossed-out eyes
😵‍💫	face_with_spiral_eyes	face_with_spiral_eyes	face_with_spiral_eyes face with spiral eyes
🤯	exploding_head	exploding_head	exploding_head exploding head mind blown
🤠	cowboy_hat_face	cowboy_hat_face	cowboy_hat_face cowboy hat face
🥳	partying_face	partying_face	partying_face partying face celebration birthday
🥸	disguised_face	disguised_face	disguised_face disguised face
😎	sunglasses	sunglasses	sunglasses smiling face with sunglasses cool
🤓	nerd_face	nerd_face	nerd_face nerd face geek glasses
🧐	monocle_face	monocle_face	monocle_face face with monocle
😕	confused	confused	confused confused face
🫤	face_with_diagonal_mouth	face_with_diagonal_mouth	face_with_diagonal_mouth face with diagonal mouth confused
😟	worried	worried	worried worried face nervous
🙁	slightly_frowning_face	slightly_frowning_face	slightly_frowning_face slightly frowning face
☹️	frowning_face	frowning_face	frowning_face frowning face
😮	open_mouth	open_mouth	open_mouth face with open mouth surprise impressed wow
😯	hushed	hushed	hushed hushed face silence speechless
😲	astonished	astonished	astonished astonished face amazed gasp
😳	flushed	flushed	flushed flushed face
🥺	pleading_face	pleading_face	pleading_face pleading face puppy eyes
🥹	face_holding_back_tears	face_holding_back_tears	face_holding_back_tears face holding back tears tears gratitude
😦	frowning	frowning	frowning frowning face with open mouth
😧	anguished	anguished	anguished anguished face stunned
😨	fearful	fearful	fearful fearful face scared shocked oops
😰	cold_sweat	cold_sweat	cold_sweat anxious face with sweat nervous
😥	disappointed_relieved	disappointed_relieved	disappointed_relieved sad but relieved face phew sweat nervous
😢	cry	cry	cry crying face sad tear
😭	sob	sob	sob loudly crying face sad cry bawling
😱	scream	scream	scream face screaming in fear horror shocked
😖	confounded	confounded	confounded confounded face
😣	persevere	persevere	persevere persevering face struggling
😞	disappointed	disappointed	disappointed disappointed face sad
😓	sweat	sweat	sweat downcast face with sweat
😩	weary	weary	weary weary face tired
😫	tired_face	tired_face	tired_face tired face upset whine
🥱	yawning_face	yawning_face	yawning_face yawning face
😤	triumph	triumph	triumph face with steam from nose smug
😡	rage	rage,pout	rage pout enraged face angry
😠	angry	angry	angry angry face mad annoyed
🤬	cursing_face	cursing_face	cursing_face face with symbols on mouth foul
😈	smiling_imp	smiling_imp	smiling_imp smiling face with horns devil evil horns
👿	imp	imp	imp angry face with horns angry devil evil horns
💀	skull	skull	skull skull dead danger poison
☠️	skull_and_crossbones	skull_and_crossbones	skull_and_crossbones skull and crossbones danger pirate
💩	hankey	hankey,poop,shit	hankey poop shit pile of poo crap
🤡	clown_face	clown_face	clown_face clown face
👹	japanese_ogre	japanese_ogre	japanese_ogre ogre monster
👺	japanese_goblin	japanese_goblin	japanese_goblin goblin
👻	ghost	ghost	ghost ghost halloween
👽	alien	alien	alien alien ufo
👾	space_invader	space_invader	space_invader alien monster game retro
🤖	robot	robot	robot robot
😺	smiley_cat	smiley_cat	smiley_cat grinning cat
😸	smile_cat	smile_cat	smile_cat grinning cat with smiling eyes
😹	joy_cat	joy_cat	joy_cat cat with tears of joy
😻	heart_eyes_cat	heart_eyes_cat	heart_eyes_cat smiling cat with heart-eyes
😼	smirk_cat	smirk_cat	smirk_cat cat with wry smile
😽	kissing_cat	kissing_cat	kissing_cat kissing cat
🙀	scream_cat	scream_cat	scream_cat weary cat horror
😿	crying_cat_face	crying_cat_face	crying_cat_face crying cat sad tear
😾	pouting_cat	pouting_cat	pouting_cat pouting cat
🙈	see_no_evil	see_no_evil	see_no_evil see-no-evil monkey monkey blind ignore
🙉	hear_no_evil	hear_no_evil	hear_no_evil hear-no-evil monkey monkey deaf
🙊	speak_no_evil	speak_no_evil	speak_no_evil speak-no-evil monkey monkey mute hush
💌	love_letter	love_letter	love_letter love letter email envelope
💘	cupid	cupid	cupid heart with arrow love heart
💝	gift_heart	gift_heart	gift_heart heart with ribbon chocolates
💖	sparkling_heart	sparkling_heart	sparkling_heart sparkling heart
💗	heartpulse	heartpulse	heartpulse growing heart
💓	heartbeat	heartbeat	heartbeat beating heart
💞	revolving_hearts	revolving_hearts	revolving_hearts revolving hearts
💕	two_hearts	two_hearts	two_hearts two hearts
💟	heart_decoration	heart_decoration	heart_decoration heart decoration
❣️	heavy_heart_exclamation	heavy_heart_exclamation	heavy_heart_exclamation heart exclamation
💔	broken_heart	broken_heart	broken_heart broken heart
❤️‍🔥	heart_on_fire	heart_on_fire	heart_on_fire heart on fire
❤️‍🩹	mending_heart	mending_heart	mending_heart mending heart
❤️	heart	heart	heart red heart love
🩷	pink_heart	pink_heart	pink_heart pink heart
🧡	orange_heart	orange_heart	orange_heart orange heart
💛	yellow_heart	yellow_heart	yellow_heart yellow heart
💚	green_heart	green_heart	green_heart green heart
💙	blue_heart	blue_heart	blue_heart blue heart
🩵	light_blue_heart	light_blue_heart	light_blue_heart light blue heart
💜	purple_heart	purple_heart	purple_heart purple heart
🤎	brown_heart	brown_heart	brown_heart brown heart
🖤	black_heart	black_heart	black_heart black heart
🩶	grey_heart	grey_heart	grey_heart grey heart
🤍	white_heart	white_heart	white_heart white heart
💋	kiss	kiss	kiss kiss mark lipstick
